,Number,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_Recovered,New_Recovered,Active_cases,Serious_critical_cases,Cases per 1 million population,Deaths per 1 million population,Total Tests,Test per 1 million population,Population,Continent
0,1,USA,"106,791,968",,"1,162,699",,"104,769,891",,"859,378","1,152","318,967","3,473","1,179,087,242","3,521,711","334,805,269",North America
1,2,India,"44,980,674",,"531,770",,"44,433,389",,"15,515",N/A,"31,978",378,"928,487,923","660,079","1,406,631,776",Asia
2,3,France,"40,042,410",,"166,970",,"39,783,277",,"92,163",869,"610,547","2,546","271,490,188","4,139,547","65,584,518",Europe
3,4,Germany,"38,417,622",,"173,797",,"38,217,400",400,"26,425",N/A,"457,987","2,072","122,332,384","1,458,359","83,883,596",Europe
4,5,Brazil,"37,511,921",,"702,116",,"36,249,161",,"560,644",N/A,"174,188","3,260","63,776,166","296,146","215,353,593",South America
5,6,Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,83,"269,169",595,"100,414,883","799,578","125,584,838",Asia
6,7,S. Korea,"31,390,699",,"34,597",,"31,080,189","16,377","275,913",153,"611,548",674,"15,804,065","307,892","51,329,899",Asia
7,8,Italy,"25,828,252",,"190,080",,"25,511,697",,"126,475",84,"428,594","3,154","272,079,213","4,514,881","60,262,770",Europe
8,9,UK,"24,569,895",,"223,396",,"24,341,913","1,923","4,586",N/A,"358,696","3,261","522,526,476","7,628,357","68,497,907",Europe
9,10,Russia,"22,898,376","2,996","398,710",25,"22,320,310","3,493","179,356",N/A,"157,047","2,735","273,400,000","1,875,095","145,805,947",Europe
10,11,Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976",Asia
11,12,Spain,"13,845,825",,"120,964",,"13,681,014",,"43,847",231,"296,363","2,589","471,036,328","10,082,298","46,719,142",Europe
12,13,Vietnam,"11,589,567",,"43,201",,"10,632,049",,"914,317",75,"117,121",437,"85,826,548","867,342","98,953,541",Asia
13,14,Australia,"11,505,229",,"20,557",,"11,454,943",,"29,729",61,"441,341",789,"81,901,821","3,141,757","26,068,792",Australia/Oceania
14,18,Iran,"7,609,922",,"146,165",,"7,342,490",,"121,267",407,"88,464","1,699","55,353,767","643,478","86,022,837",Asia
15,19,Mexico,"7,600,278",,"333,985",,"6,847,177",,"419,116",N/A,"57,769","2,539","19,971,611","151,803","131,562,772",North America
16,20,Indonesia,"6,797,336",870,"161,609",10,"6,617,548","1,223","18,179",N/A,"24,351",579,"114,158,919","408,975","279,134,505",Asia
17,21,Poland,"6,515,583",26,"119,585",,"5,335,940",,"1,060,058",648,"172,645","3,169","38,698,682","1,025,408","37,739,785",Europe
18,22,Colombia,"6,365,994",,"142,727",,"6,187,964",,"35,303",342,"123,581","2,771","36,951,507","717,327","51,512,762",South America
19,23,Austria,"6,071,852",,"22,478",,"6,041,413",,"7,961",55,"669,686","2,479","211,273,524","23,302,116","9,066,710",Europe
20,24,Greece,"6,025,776",,"36,811",,"5,979,074","2,658","9,891",115,"584,083","3,568","102,228,365","9,909,078","10,316,637",Europe
21,25,Portugal,"5,582,987",,"26,616",,"5,551,209",,"5,162",61,"550,559","2,625","46,082,209","4,544,341","10,140,570",Europe
22,26,Ukraine,"5,538,357",,"112,210",,"5,406,404",,"19,743",,"128,226","2,598","32,603,805","754,855","43,192,122",Europe
23,27,Chile,"5,286,098",,"64,497",,"5,221,227",,374,32,"274,600","3,350","49,528,429","2,572,879","19,250,195",South America
24,28,Malaysia,"5,079,436",,"37,028",,"5,025,566",,"16,842",29,"153,082","1,116","68,347,420","2,059,832","33,181,072",Asia
25,29,Israel,"4,823,329",,"12,500",,"4,798,473",,"12,356",21,"517,192","1,340","41,373,364","4,436,346","9,326,000",Asia
26,30,Belgium,"4,797,108",,"34,298",,"4,752,505",563,"10,305",43,"411,124","2,939","37,018,657","3,172,590","11,668,278",Europe
27,32,Thailand,"4,734,000",,"33,967",,"4,692,636",,"7,397",N/A,"67,553",485,"17,270,775","246,450","70,078,203",Asia
28,33,Czechia,"4,641,311",,"42,787",,"4,596,821",,"1,703",4,"432,281","3,985","57,195,982","5,327,106","10,736,784",Europe
29,35,Peru,"4,503,222",,"220,196",,"4,282,305",271,721,26,"133,689","6,537","38,548,796","1,144,417","33,684,208",South America
30,36,Switzerland,"4,404,327",,"14,452",,"4,385,766",,"4,109",39,"501,996","1,647","23,833,472","2,716,487","8,773,637",Europe
31,37,Philippines,"4,113,093",,"66,453",,"4,031,113",,"15,527",162,"36,558",591,"35,119,959","312,152","112,508,994",Asia
